masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err      time_elapsed
1.32210e+03 -1.72040e-03 5.20410e-04 5.81580e-04 5.56157e-05 2.42246e-05 9.32371e+04
2.12090e+03 -7.62450e-03 6.35101e-06 6.91652e-06 1.74218e-06 -8.54358e-08 9.32371e+04
1.20770e+03 7.88190e-01 1.44099e-03 1.68955e-03 1.35796e-04 -1.25249e-05 9.32371e+04
7.04640e+02 9.99350e-01 7.57765e-02 8.77642e-02 4.10777e-03 -6.20852e-04 9.32371e+04
1.67800e+03 -5.91330e-04 7.05892e-05 7.91137e-05 1.12128e-05 7.79222e-07 9.32371e+04
1.67170e+03 1.47480e-03 7.27027e-05 8.32144e-05 1.01424e-05 3.83656e-06 9.32371e+04
2.29460e+03 -4.06850e-03 2.53476e-06 2.80763e-06 8.20932e-07 -1.02611e-07 9.32371e+04
8.20230e+02 1.24840e-05 1.24611e-02 1.42672e-02 8.55790e-04 4.39876e-04 9.32371e+04
1.11770e+03 -1.68180e-01 1.72541e-03 2.00055e-03 1.64028e-04 1.31544e-05 9.32371e+04
3.08850e+02 9.16460e-03 1.35451e+00 1.64037e+00 6.07499e-02 3.02294e-02 9.32371e+04
9.65100e+02 1.00000e+00 1.17571e-02 1.30045e-02 8.87446e-04 2.67487e-04 9.32371e+04
4.25030e+02 9.99810e-01 8.97346e-01 1.08412e+00 4.29630e-02 -1.49187e-02 9.32371e+04
1.21930e+03 9.94010e-01 2.35293e-03 2.60832e-03 2.02950e-04 -1.53108e-04 9.32371e+04
2.87340e+03 6.57510e-03 1.25282e-07 1.40753e-07 8.34491e-08 -3.81145e-09 9.32371e+04
1.76980e+03 9.99330e-01 9.89187e-05 1.11475e-04 1.58125e-05 3.87766e-06 9.32371e+04
2.55820e+03 -3.41450e-02 6.18677e-07 6.90812e-07 2.78678e-07 -2.56388e-08 9.32371e+04
4.16930e+02 9.96720e-01 9.81211e-01 1.15939e+00 5.05634e-02 1.00142e-02 9.32371e+04
2.21540e+03 6.80510e-02 3.68949e-06 4.30713e-06 1.08751e-06 -1.47891e-08 9.32371e+04
2.04180e+03 1.00000e+00 2.24613e-05 2.44040e-05 5.18066e-06 -5.42373e-07 9.32371e+04
6.80350e+02 9.99910e-01 9.47967e-02 1.08036e-01 4.29625e-03 2.96851e-04 9.32371e+04
2.28350e+03 1.66190e-02 2.71357e-06 2.87193e-06 8.89324e-07 3.27204e-08 9.32371e+04
1.11800e+03 7.01390e-02 1.85850e-03 1.97142e-03 1.61298e-04 1.37219e-05 9.32371e+04
1.25560e+03 -3.77800e-02 7.83007e-04 8.62495e-04 8.29756e-05 -3.29023e-05 9.32371e+04
1.10220e+03 3.67340e-03 2.04325e-03 2.31114e-03 1.67046e-04 -4.90949e-05 9.32371e+04
5.19270e+02 9.99990e-01 3.56136e-01 4.16306e-01 1.59878e-02 4.93950e-03 9.32371e+04
1.88490e+02 9.99650e-01 2.39593e+01 3.01639e+01 1.10492e+00 -1.58478e+00 9.32371e+04
1.89480e+03 1.00000e+00 4.98033e-05 5.44644e-05 9.34677e-06 -1.60541e-06 9.32371e+04
1.19160e+03 9.99830e-01 2.81992e-03 3.20451e-03 2.48597e-04 2.67887e-05 9.32371e+04
