masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
1.84970e+03 2.75255e-05 2.34606e-05 3.18928e-05 2.86370e-05 2.26363e-05 3.79876e-05
2.43930e+03 1.19432e-06 9.93150e-07 1.38319e-06 1.29025e-06 1.00970e-06 1.63962e-06
1.71690e+03 5.59992e-05 4.86810e-05 6.49363e-05 5.87093e-05 4.69687e-05 7.61866e-05
1.93030e+03 1.76228e-05 1.51361e-05 2.02578e-05 1.91092e-05 1.47773e-05 2.43601e-05
1.78540e+03 3.85617e-05 3.40248e-05 4.38499e-05 4.18492e-05 3.28040e-05 5.30034e-05
1.98950e+02 7.29162e+00 7.09747e+00 7.30315e+00 9.51360e+00 6.49198e+00 1.28319e+01
9.05410e+02 6.74134e-03 6.29093e-03 7.85377e-03 7.54475e-03 6.12275e-03 9.90764e-03
6.38470e+02 4.99666e-02 4.59371e-02 5.33602e-02 5.73546e-02 4.26598e-02 7.26852e-02
1.73500e+03 4.97498e-05 4.47613e-05 5.75949e-05 5.23703e-05 4.20228e-05 6.93491e-05
1.81690e+03 3.23681e-05 2.89561e-05 3.74356e-05 3.49058e-05 2.70647e-05 4.41854e-05
5.88790e+02 7.60502e-02 6.81187e-02 7.96663e-02 8.54715e-02 6.66730e-02 1.09459e-01
2.16590e+03 4.88808e-06 4.30244e-06 5.84640e-06 5.33736e-06 4.14822e-06 6.89878e-06
8.31810e+02 1.13723e-02 1.02396e-02 1.26033e-02 1.33297e-02 9.76992e-03 1.66428e-02
2.13770e+02 5.55557e+00 5.47321e+00 5.64097e+00 7.17271e+00 4.87146e+00 9.47870e+00
1.13800e+03 1.55826e-03 1.41187e-03 1.77417e-03 1.71859e-03 1.35368e-03 2.10342e-03
1.96650e+03 1.41522e-05 1.23780e-05 1.68016e-05 1.56669e-05 1.20691e-05 1.99549e-05
9.08610e+02 6.87113e-03 6.04622e-03 7.68466e-03 7.58301e-03 6.31119e-03 9.51352e-03
1.65290e+03 8.04488e-05 7.09040e-05 9.10044e-05 8.75561e-05 6.62861e-05 1.06946e-04
6.74220e+02 3.72452e-02 3.48543e-02 4.16258e-02 4.13985e-02 3.37264e-02 5.21946e-02
2.54170e+03 6.90479e-07 6.03290e-07 8.30808e-07 7.20838e-07 5.87598e-07 9.50437e-07
2.25260e+03 3.04217e-06 2.67516e-06 3.68909e-06 3.39787e-06 2.59555e-06 4.21285e-06
2.25100e+03 3.17858e-06 2.71025e-06 3.68617e-06 3.33167e-06 2.66499e-06 4.25696e-06
8.84350e+02 8.28263e-03 7.09978e-03 8.93178e-03 9.10334e-03 7.30561e-03 1.13544e-02
4.72540e+02 2.17951e-01 1.99901e-01 2.26897e-01 2.55248e-01 1.97060e-01 3.27943e-01
1.68880e+02 1.30324e+01 1.30503e+01 1.31107e+01 1.72767e+01 1.15749e+01 2.32698e+01
1.58680e+03 1.12301e-04 1.03789e-04 1.31553e-04 1.25859e-04 9.39939e-05 1.58779e-04
8.42600e+02 1.02563e-02 9.36814e-03 1.19124e-02 1.19665e-02 9.83135e-03 1.54213e-02
9.59080e+02 4.88029e-03 4.31738e-03 5.30572e-03 5.29056e-03 4.41284e-03 6.89653e-03
7.20490e+02 2.56204e-02 2.42047e-02 2.97777e-02 2.98486e-02 2.36544e-02 3.66858e-02
3.32690e+03 1.39511e-08 1.15958e-08 1.63055e-08 1.46643e-08 1.20392e-08 1.94012e-08
1.90450e+03 1.99185e-05 1.77822e-05 2.43030e-05 2.23520e-05 1.70817e-05 2.78843e-05
1.04800e+03 2.65461e-03 2.51836e-03 3.04515e-03 3.02881e-03 2.38986e-03 3.83684e-03
7.98050e+02 1.42465e-02 1.38801e-02 1.61477e-02 1.65604e-02 1.34204e-02 2.08191e-02
9.21000e+02 6.41501e-03 5.69464e-03 6.86121e-03 6.69000e-03 5.42732e-03 9.03990e-03
7.42070e+02 2.18789e-02 2.01429e-02 2.49651e-02 2.47800e-02 1.89027e-02 3.29286e-02
4.98000e+02 1.68113e-01 1.59269e-01 1.79557e-01 1.99325e-01 1.51008e-01 2.52432e-01
2.20610e+03 4.03003e-06 3.47390e-06 4.79761e-06 4.24035e-06 3.35154e-06 5.36052e-06
9.69850e+02 4.64804e-03 4.05330e-03 4.90065e-03 4.98528e-03 4.00146e-03 6.40288e-03
1.94470e+03 1.63310e-05 1.41023e-05 1.86674e-05 1.73279e-05 1.41566e-05 2.23338e-05
1.62110e+03 9.48686e-05 8.33700e-05 1.09396e-04 1.03678e-04 7.97621e-05 1.32495e-04
1.42480e+03 2.85623e-04 2.54153e-04 3.28565e-04 3.12726e-04 2.52689e-04 4.06349e-04
1.55780e+03 1.32666e-04 1.18248e-04 1.50233e-04 1.42533e-04 1.13039e-04 1.87594e-04
1.15300e+03 1.39428e-03 1.22590e-03 1.60594e-03 1.55258e-03 1.27164e-03 2.01818e-03
1.07270e+03 2.35825e-03 2.11614e-03 2.56604e-03 2.59040e-03 2.09572e-03 3.30607e-03
1.25250e+03 7.91684e-04 7.07443e-04 9.06496e-04 8.38926e-04 6.68596e-04 1.06953e-03
1.20960e+03 9.86730e-04 8.88753e-04 1.10819e-03 1.08799e-03 8.62830e-04 1.41977e-03
8.72820e+02 8.65942e-03 7.96606e-03 9.36218e-03 9.72813e-03 7.59585e-03 1.22029e-02
1.83570e+03 2.92189e-05 2.57828e-05 3.36253e-05 3.09906e-05 2.52473e-05 3.98606e-05
4.83410e+02 1.95096e-01 1.80538e-01 2.03789e-01 2.27054e-01 1.74600e-01 2.92699e-01
1.23180e+03 8.92757e-04 7.88448e-04 9.60672e-04 9.84632e-04 7.32351e-04 1.20157e-03
1.54690e+03 1.40346e-04 1.26886e-04 1.67787e-04 1.56010e-04 1.21444e-04 1.96986e-04
7.14790e+02 2.66079e-02 2.47822e-02 2.92519e-02 3.09185e-02 2.50462e-02 3.89941e-02
1.23480e+03 9.02280e-04 7.88088e-04 9.71262e-04 9.57630e-04 7.59533e-04 1.15710e-03
6.35020e+02 5.04958e-02 4.73995e-02 5.50563e-02 5.84347e-02 4.37278e-02 7.38442e-02
2.98950e+03 6.92691e-08 5.92746e-08 8.47742e-08 7.52596e-08 5.71250e-08 9.51376e-08
1.32210e+03 5.21923e-04 4.62450e-04 6.00231e-04 5.48150e-04 4.54627e-04 7.27511e-04
2.12090e+03 6.34460e-06 5.43566e-06 7.27903e-06 6.74915e-06 5.39621e-06 8.31146e-06
1.20770e+03 1.02966e-03 9.49469e-04 1.16630e-03 1.10603e-03 8.86866e-04 1.39953e-03
7.04640e+02 2.93437e-02 2.69965e-02 3.23397e-02 3.41404e-02 2.66192e-02 4.31403e-02
1.67800e+03 6.84338e-05 6.15162e-05 7.95005e-05 7.53398e-05 5.81705e-05 9.36372e-05
1.67170e+03 7.20832e-05 6.23245e-05 8.27918e-05 7.77884e-05 6.18424e-05 9.70705e-05
2.29460e+03 2.54557e-06 2.19221e-06 3.00784e-06 2.64420e-06 2.11566e-06 3.43345e-06
8.20230e+02 1.27615e-02 1.12637e-02 1.36419e-02 1.42864e-02 1.15210e-02 1.83655e-02
1.11770e+03 1.74522e-03 1.58577e-03 1.99098e-03 2.00356e-03 1.52038e-03 2.44802e-03
3.08850e+02 1.35111e+00 1.27896e+00 1.37833e+00 1.61669e+00 1.21341e+00 2.15593e+00
9.65100e+02 4.57426e-03 4.16686e-03 5.34908e-03 5.13677e-03 4.20518e-03 6.66258e-03
4.25030e+02 3.48544e-01 3.27088e-01 3.69786e-01 4.09539e-01 3.14046e-01 5.29302e-01
1.21930e+03 9.65045e-04 8.52102e-04 1.07498e-03 1.06763e-03 8.05267e-04 1.32204e-03
2.87340e+03 1.26209e-07 1.05082e-07 1.46933e-07 1.29287e-07 1.02431e-07 1.67284e-07
1.76980e+03 4.28221e-05 3.61035e-05 4.77424e-05 4.51140e-05 3.66608e-05 5.74212e-05
2.55820e+03 6.21611e-07 5.34716e-07 7.47629e-07 6.55178e-07 5.13483e-07 8.73755e-07
4.16930e+02 3.76989e-01 3.60335e-01 4.03010e-01 4.46073e-01 3.47613e-01 5.74784e-01
2.21540e+03 3.74160e-06 3.25552e-06 4.47962e-06 4.08729e-06 3.13827e-06 5.41467e-06
2.04180e+03 9.84876e-06 8.49165e-06 1.11015e-05 1.03628e-05 8.04610e-06 1.31091e-05
6.80350e+02 3.59619e-02 3.23501e-02 3.78736e-02 4.03777e-02 3.14869e-02 4.97771e-02
2.28350e+03 2.63928e-06 2.31086e-06 3.17282e-06 2.86678e-06 2.23105e-06 3.69208e-06
1.11800e+03 1.77112e-03 1.54795e-03 2.01210e-03 1.98785e-03 1.52586e-03 2.42885e-03
1.25560e+03 7.60915e-04 6.82759e-04 8.52359e-04 8.46720e-04 6.46254e-04 1.04581e-03
1.10220e+03 1.95517e-03 1.73637e-03 2.18446e-03 2.13366e-03 1.72536e-03 2.79343e-03
5.19270e+02 1.35094e-01 1.29684e-01 1.50066e-01 1.60673e-01 1.22975e-01 2.07951e-01
1.88490e+02 8.94791e+00 8.73618e+00 9.02142e+00 1.21487e+01 7.80741e+00 1.55719e+01
1.89480e+03 2.16825e-05 1.85620e-05 2.43653e-05 2.25707e-05 1.82945e-05 2.91085e-05
1.19160e+03 1.12177e-03 9.99153e-04 1.26791e-03 1.20321e-03 9.83957e-04 1.56760e-03
3.73850e+02 6.12654e-01 5.76981e-01 6.39007e-01 7.12377e-01 5.50367e-01 9.60150e-01
9.70250e+02 4.41601e-03 4.05837e-03 5.08776e-03 4.98198e-03 3.84061e-03 6.38978e-03
2.96710e+03 7.77170e-08 6.46143e-08 9.24730e-08 8.20033e-08 6.56087e-08 1.06222e-07
6.06560e+02 6.62387e-02 6.03693e-02 7.04687e-02 7.19213e-02 5.64054e-02 9.48061e-02
