masses    LO_data    NLO_data
2.20000e+02 1.35722e+01 1.61795e+01
3.20000e+02 3.05156e+00 3.67296e+00
1.20000e+02 1.16586e+02 1.52380e+02
2.20000e+02 1.33320e+01 1.63683e+01
3.20000e+02 3.02542e+00 3.65555e+00
1.20000e+02 1.17166e+02 1.48688e+02
2.20000e+02 1.31611e+01 1.62691e+01
3.20000e+02 3.05670e+00 3.67653e+00
8.00000e+01 4.79153e+02 6.24474e+02
2.20000e+02 1.31650e+01 1.61447e+01
3.20000e+02 2.99328e+00 3.65750e+00
1.00000e+02 2.15717e+02 2.79621e+02
2.20000e+02 1.33348e+01 1.65294e+01
3.20000e+02 3.07253e+00 3.64262e+00
1.40000e+02 6.97150e+01 8.61766e+01
2.00000e+02 1.92352e+01 2.35784e+01
3.00000e+02 3.90984e+00 4.74118e+00
3.80000e+02 1.46417e+00 1.74496e+00
6.00000e+01 1.34052e+03 1.79784e+03
1.60000e+02 4.23886e+01 5.35991e+01
2.40000e+02 9.57338e+00 1.16744e+01
3.40000e+02 2.36495e+00 2.83274e+00
1.40000e+02 6.82922e+01 8.69534e+01
2.00000e+02 1.92048e+01 2.32136e+01
3.00000e+02 3.98433e+00 4.69897e+00
3.80000e+02 1.47766e+00 1.75734e+00
6.00000e+01 1.37521e+03 1.78442e+03
2.00000e+02 1.90091e+01 2.33805e+01
2.80000e+02 5.22297e+00 6.29529e+00
3.80000e+02 1.47975e+00 1.76507e+00
1.20000e+02 1.19889e+02 1.47134e+02
1.60000e+02 4.28895e+01 5.42062e+01
2.60000e+02 6.94890e+00 8.55572e+00
3.60000e+02 1.86527e+00 2.22572e+00
1.00000e+02 2.17969e+02 2.82355e+02
1.60000e+02 4.19766e+01 5.37317e+01
2.60000e+02 6.88897e+00 8.48574e+00
3.60000e+02 1.84317e+00 2.24582e+00
1.20000e+02 1.18779e+02 1.49850e+02
1.80000e+02 2.75235e+01 3.45677e+01
2.80000e+02 5.25312e+00 6.28352e+00
3.80000e+02 1.46469e+00 1.75039e+00
1.00000e+02 2.18862e+02 2.79276e+02
1.80000e+02 2.82321e+01 3.39862e+01
2.80000e+02 5.24559e+00 6.40256e+00
3.60000e+02 1.87293e+00 2.22308e+00
1.20000e+02 1.17680e+02 1.47185e+02
1.80000e+02 2.81780e+01 3.44119e+01
2.60000e+02 7.03808e+00 8.44032e+00
3.60000e+02 1.87573e+00 2.22700e+00
1.00000e+02 2.21186e+02 2.79097e+02
1.60000e+02 4.30606e+01 5.31881e+01
2.60000e+02 6.98863e+00 8.53038e+00
3.60000e+02 1.83945e+00 2.20549e+00
1.20000e+02 1.16917e+02 1.45751e+02
2.40000e+02 9.70136e+00 1.14692e+01
3.40000e+02 2.40155e+00 2.82972e+00
1.20000e+02 1.16645e+02 1.49477e+02
2.40000e+02 9.47764e+00 1.15393e+01
3.40000e+02 2.37951e+00 2.83827e+00
1.20000e+02 1.19737e+02 1.46267e+02
2.40000e+02 9.55164e+00 1.18038e+01
3.40000e+02 2.38839e+00 2.77628e+00
1.20000e+02 1.15207e+02 1.49223e+02
2.40000e+02 9.53120e+00 1.15306e+01
3.40000e+02 2.38423e+00 2.79736e+00
1.20000e+02 1.15242e+02 1.49496e+02
2.40000e+02 9.70185e+00 1.18296e+01
3.40000e+02 2.34431e+00 2.85600e+00
1.00000e+02 2.23431e+02 2.80715e+02
2.40000e+02 9.54143e+00 1.14712e+01
3.40000e+02 2.37407e+00 2.81092e+00
1.20000e+02 1.15965e+02 1.47098e+02
2.40000e+02 9.50299e+00 1.14873e+01
