masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
2.00230e+03 2.82274e-05 2.41276e-05 3.31634e-05 2.96721e-05 2.21646e-05 3.95771e-05
1.78270e+03 9.33793e-05 8.38892e-05 1.05940e-04 1.00764e-04 7.91619e-05 1.26359e-04
5.64760e+02 2.38512e-01 2.22113e-01 2.53764e-01 2.69459e-01 2.03171e-01 3.54949e-01
8.01670e+02 3.59919e-02 3.34896e-02 3.94590e-02 4.09834e-02 3.21790e-02 5.32537e-02
4.86830e+02 4.84280e-01 4.53738e-01 5.21925e-01 5.63693e-01 4.19951e-01 7.46028e-01
1.35700e+03 1.03055e-03 9.32022e-04 1.15895e-03 1.11164e-03 8.72826e-04 1.41620e-03
1.85140e+03 6.19016e-05 5.45715e-05 7.48717e-05 6.84136e-05 5.28637e-05 8.73074e-05
2.53660e+02 7.63877e+00 7.54182e+00 7.94884e+00 9.84098e+00 6.72289e+00 1.32136e+01
2.69720e+03 6.84238e-07 5.77223e-07 8.20081e-07 7.12913e-07 5.46493e-07 9.18792e-07
8.79870e+02 2.11386e-02 1.93132e-02 2.40960e-02 2.30882e-02 1.75880e-02 3.04914e-02
1.70810e+03 1.42842e-04 1.21047e-04 1.65569e-04 1.48036e-04 1.20614e-04 1.91502e-04
3.49330e+03 1.46599e-08 1.23830e-08 1.78410e-08 1.63386e-08 1.28050e-08 2.00418e-08
1.43600e+03 6.60334e-04 5.73422e-04 7.34602e-04 7.03700e-04 5.28920e-04 9.09538e-04
3.25580e+03 4.29511e-08 3.60963e-08 5.13956e-08 4.81897e-08 3.55385e-08 6.07124e-08
1.90980e+03 4.68409e-05 3.99866e-05 5.43180e-05 4.82162e-05 3.68718e-05 6.24942e-05
6.25270e+02 1.40733e-01 1.30125e-01 1.54476e-01 1.66413e-01 1.23006e-01 2.08778e-01
1.50510e+03 4.33864e-04 3.73115e-04 5.04266e-04 4.75663e-04 3.67578e-04 5.84947e-04
8.94250e+02 1.88343e-02 1.70483e-02 2.09106e-02 2.13138e-02 1.70374e-02 2.74077e-02
3.49770e+03 1.47239e-08 1.20714e-08 1.69349e-08 1.58411e-08 1.26224e-08 2.07825e-08
2.42750e+03 2.88838e-06 2.41850e-06 3.44027e-06 2.91241e-06 2.31137e-06 3.91093e-06
1.16280e+03 3.45066e-03 3.00404e-03 3.73602e-03 3.60167e-03 2.88455e-03 4.61658e-03
2.22240e+03 8.65917e-06 7.19639e-06 1.00430e-05 8.75940e-06 7.06655e-06 1.17672e-05
1.61460e+03 2.34730e-04 2.00892e-04 2.69588e-04 2.57259e-04 1.97822e-04 3.26565e-04
2.91640e+03 2.21862e-07 1.85759e-07 2.67089e-07 2.40967e-07 1.83709e-07 3.04957e-07
2.41810e+03 3.00951e-06 2.56262e-06 3.66635e-06 3.20400e-06 2.45423e-06 4.07565e-06
2.44310e+03 2.62285e-06 2.26875e-06 3.17004e-06 2.73334e-06 2.13310e-06 3.51298e-06
3.18480e+03 6.02035e-08 5.21204e-08 7.22949e-08 6.70587e-08 4.99827e-08 8.27020e-08
3.35420e+03 2.76091e-08 2.32701e-08 3.44387e-08 3.01177e-08 2.37808e-08 3.72203e-08
9.84980e+02 1.05031e-02 9.18551e-03 1.14782e-02 1.12657e-02 9.07634e-03 1.45340e-02
5.55060e+02 2.59648e-01 2.39790e-01 2.80568e-01 3.00651e-01 2.19262e-01 3.91058e-01
1.41140e+03 7.56387e-04 6.70819e-04 8.66739e-04 8.14565e-04 6.36917e-04 1.05402e-03
3.36520e+03 2.59245e-08 2.22802e-08 3.13210e-08 2.96876e-08 2.24788e-08 3.64245e-08
1.96690e+03 3.40892e-05 2.89694e-05 3.94864e-05 3.45565e-05 2.81975e-05 4.62784e-05
3.19690e+03 5.70645e-08 4.90130e-08 6.72138e-08 6.07528e-08 4.78601e-08 7.91104e-08
9.29580e+02 1.42586e-02 1.33110e-02 1.68818e-02 1.69543e-02 1.26481e-02 2.11808e-02
5.37070e+02 3.06674e-01 2.84244e-01 3.29104e-01 3.45880e-01 2.66860e-01 4.48336e-01
2.10190e+03 1.66294e-05 1.43346e-05 1.87086e-05 1.76354e-05 1.29218e-05 2.25788e-05
2.29010e+03 5.90427e-06 5.12978e-06 6.87617e-06 6.19178e-06 5.00813e-06 8.09176e-06
2.76270e+03 4.81923e-07 4.20650e-07 5.83433e-07 5.14023e-07 3.94397e-07 6.60780e-07
3.18250e+03 6.22080e-08 5.21491e-08 7.34333e-08 6.50588e-08 5.14496e-08 8.24972e-08
2.45320e+03 2.50975e-06 2.07070e-06 2.91908e-06 2.61793e-06 2.01447e-06 3.36915e-06
