masses    NLO_data
2.80000e+02 6.29138e+00
3.60000e+02 2.20015e+00
1.40000e+02 8.36829e+01
2.00000e+02 2.23928e+01
3.00000e+02 4.74361e+00
4.00000e+02 1.34172e+00
1.40000e+02 8.60940e+01
2.00000e+02 2.27470e+01
2.80000e+02 6.27694e+00
4.00000e+02 1.37605e+00
1.20000e+02 1.50003e+02
1.60000e+02 5.15107e+01
2.60000e+02 8.55053e+00
3.60000e+02 2.15061e+00
6.00000e+01 1.86306e+03
2.00000e+02 2.28091e+01
2.80000e+02 6.19909e+00
3.60000e+02 2.20013e+00
6.00000e+01 1.82652e+03
1.80000e+02 3.32334e+01
2.80000e+02 6.31510e+00
3.80000e+02 1.75507e+00
6.00000e+01 1.87866e+03
2.00000e+02 2.30766e+01
2.80000e+02 6.34029e+00
3.80000e+02 1.79661e+00
6.00000e+01 1.76857e+03
1.80000e+02 3.35143e+01
2.60000e+02 8.54424e+00
3.80000e+02 1.74908e+00
6.00000e+01 1.88228e+03
1.80000e+02 3.46974e+01
2.80000e+02 6.13540e+00
3.60000e+02 2.16409e+00
1.00000e+02 2.79981e+02
2.00000e+02 2.26361e+01
2.80000e+02 6.30663e+00
3.80000e+02 1.78697e+00
1.20000e+02 1.45687e+02
1.60000e+02 5.21433e+01
2.60000e+02 8.47046e+00
3.60000e+02 2.25299e+00
6.00000e+01 1.87122e+03
2.20000e+02 1.59058e+01
3.20000e+02 3.59367e+00
6.00000e+01 1.91842e+03
2.00000e+02 2.21872e+01
3.00000e+02 4.68764e+00
4.00000e+02 1.37779e+00
6.00000e+01 1.96865e+03
2.20000e+02 1.64703e+01
3.20000e+02 3.62103e+00
8.00000e+01 6.16775e+02
2.20000e+02 1.61803e+01
3.20000e+02 3.58570e+00
4.00000e+02 1.37074e+00
6.00000e+01 1.67817e+03
2.20000e+02 1.58678e+01
3.20000e+02 3.63639e+00
8.00000e+01 6.68743e+02
2.20000e+02 1.60302e+01
3.20000e+02 3.62178e+00
8.00000e+01 6.46186e+02
2.20000e+02 1.59671e+01
3.20000e+02 3.63548e+00
1.00000e+02 2.74624e+02
2.40000e+02 1.19231e+01
3.40000e+02 2.76988e+00
8.00000e+01 6.22772e+02
2.00000e+02 2.25777e+01
3.00000e+02 4.64256e+00
4.00000e+02 1.35694e+00
1.20000e+02 1.47008e+02
2.00000e+02 2.30239e+01
3.00000e+02 4.60314e+00
4.00000e+02 1.38963e+00
6.00000e+01 1.83123e+03
2.00000e+02 2.41378e+01
3.00000e+02 4.52398e+00
4.00000e+02 1.41733e+00
1.20000e+02 1.53547e+02
1.60000e+02 5.33300e+01
2.60000e+02 8.25011e+00
3.60000e+02 2.18903e+00
1.00000e+02 2.84346e+02
1.80000e+02 3.47489e+01
2.80000e+02 5.99412e+00
3.80000e+02 1.73166e+00
1.00000e+02 2.81489e+02
1.60000e+02 5.25703e+01
2.60000e+02 8.72912e+00
3.80000e+02 1.75541e+00
1.00000e+02 2.79890e+02
1.80000e+02 3.55101e+01
2.80000e+02 6.11801e+00
3.80000e+02 1.68424e+00
1.40000e+02 8.39427e+01
2.20000e+02 1.65764e+01
3.20000e+02 3.53851e+00
1.20000e+02 1.52298e+02
2.20000e+02 1.59799e+01
3.20000e+02 3.58002e+00
1.20000e+02 1.42568e+02
2.20000e+02 1.59333e+01
3.20000e+02 3.60649e+00
1.20000e+02 1.48866e+02
2.20000e+02 1.63330e+01
3.20000e+02 3.65022e+00
1.20000e+02 1.55013e+02
2.20000e+02 1.57103e+01
3.20000e+02 3.52405e+00
8.00000e+01 6.43314e+02
2.20000e+02 1.61189e+01
