masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
3.40880e+03 1.39173e-01 9.49390e-09 1.06255e-08 7.25560e-09 -1.43254e-09
2.02460e+03 1.39173e-01 1.06922e-05 1.20724e-05 2.37444e-06 2.66031e-07
2.44060e+03 1.39173e-01 1.14929e-06 1.25337e-06 4.38405e-07 -2.58893e-08
1.81380e+03 1.39173e-01 3.29498e-05 3.60205e-05 6.01295e-06 -5.85704e-07
2.13880e+03 1.39173e-01 5.77337e-06 6.24225e-06 1.57934e-06 -2.20840e-07
1.23740e+03 1.39173e-01 8.27940e-04 9.68061e-04 7.14264e-05 -7.88463e-06
3.38560e+03 1.39173e-01 1.00492e-08 1.12316e-08 7.99894e-09 -1.17838e-09
1.81320e+03 1.39173e-01 3.28599e-05 3.71192e-05 5.78709e-06 1.48008e-07
2.89670e+03 1.39173e-01 1.09878e-07 1.22473e-07 7.63610e-08 -5.78175e-09
1.56930e+03 1.39173e-01 1.27146e-04 1.43081e-04 1.70012e-05 -4.74966e-07
3.08440e+03 1.39173e-01 4.39850e-08 4.88308e-08 2.86577e-08 -4.03915e-09
2.24320e+03 1.39173e-01 3.34419e-06 3.79694e-06 1.02054e-06 -2.95616e-08
2.23640e+03 1.39173e-01 3.48577e-06 3.81561e-06 1.08897e-06 -6.71936e-08
1.96450e+03 1.39173e-01 1.45272e-05 1.66119e-05 3.42068e-06 -2.06615e-07
1.94480e+03 1.39173e-01 1.57402e-05 1.83843e-05 3.29327e-06 1.21322e-07
1.76600e+03 1.39173e-01 4.29272e-05 4.85832e-05 7.70826e-06 -1.64942e-06
1.34280e+03 1.39173e-01 4.49092e-04 5.07704e-04 4.87426e-05 -1.15806e-05
3.04070e+03 1.39173e-01 5.49241e-08 5.91010e-08 3.82036e-08 -3.74537e-09
3.41220e+03 1.39173e-01 9.32559e-09 1.04268e-08 7.34871e-09 -1.20088e-09
3.31440e+03 1.39173e-01 1.40915e-08 1.58052e-08 1.09955e-08 -1.71446e-09
1.28460e+03 1.39173e-01 6.38508e-04 7.29928e-04 6.46147e-05 1.05378e-05
1.39980e+03 1.39173e-01 3.29204e-04 3.60940e-04 4.02031e-05 1.05899e-05
2.20900e+03 1.39173e-01 3.93746e-06 4.54295e-06 1.12590e-06 -9.73068e-08
2.74430e+03 1.39173e-01 2.40994e-07 2.67070e-07 1.42581e-07 -1.03582e-08
3.11500e+03 1.39173e-01 3.70886e-08 4.15289e-08 2.55615e-08 -2.55118e-09
2.83430e+03 1.39173e-01 1.50210e-07 1.67481e-07 9.41926e-08 -9.41722e-09
1.23580e+03 1.39173e-01 8.59129e-04 9.42039e-04 7.39400e-05 -3.58304e-05
1.30740e+03 1.39173e-01 5.71630e-04 6.61178e-04 5.10939e-05 3.70703e-06
2.46540e+03 1.39173e-01 1.00956e-06 1.13155e-06 4.29113e-07 -4.14729e-08
2.40290e+03 1.39173e-01 1.43813e-06 1.57490e-06 5.25611e-07 -1.97858e-08
1.43330e+03 1.39173e-01 2.76835e-04 3.20063e-04 2.86709e-05 -1.11153e-05
3.33640e+03 1.39173e-01 1.35324e-08 1.47841e-08 9.78331e-09 -1.70732e-09
2.39970e+03 1.39173e-01 1.45067e-06 1.53695e-06 5.12237e-07 3.78060e-08
3.37350e+03 1.39173e-01 1.09741e-08 1.23768e-08 8.58887e-09 -1.19996e-09
4.97970e+02 1.39173e-01 1.69120e-01 1.94579e-01 6.51743e-03 8.73452e-04
2.25510e+03 1.39173e-01 3.13202e-06 3.36808e-06 9.54666e-07 -5.39743e-08
2.83250e+03 1.39173e-01 1.56712e-07 1.63233e-07 9.62474e-08 -5.41317e-09
2.12440e+03 1.39173e-01 6.30375e-06 7.16275e-06 1.68962e-06 5.49575e-08
2.85290e+03 1.39173e-01 1.37221e-07 1.53637e-07 8.75949e-08 -1.17655e-08
1.13170e+03 1.39173e-01 1.63595e-03 1.84718e-03 1.41865e-04 -2.29789e-05
1.63290e+03 1.39173e-01 9.31564e-05 1.01523e-04 1.34441e-05 -2.16601e-06
2.18010e+03 1.39173e-01 4.71079e-06 5.06824e-06 1.33604e-06 -1.27375e-07
2.12590e+03 1.39173e-01 6.18064e-06 6.78590e-06 1.53928e-06 -1.32770e-07
1.65100e+03 1.39173e-01 7.90504e-05 8.77120e-05 1.19246e-05 -2.14937e-06
2.76210e+03 1.39173e-01 2.21597e-07 2.36646e-07 1.30272e-07 -1.01728e-08
1.75670e+03 1.39173e-01 4.49208e-05 5.04041e-05 7.61678e-06 -1.53253e-06
1.80470e+03 1.39173e-01 3.47047e-05 3.84546e-05 5.96575e-06 -8.71425e-07
3.43070e+03 1.39173e-01 8.69529e-09 9.51749e-09 6.19836e-09 -1.15162e-09
3.30040e+03 1.39173e-01 1.52713e-08 1.69233e-08 1.21690e-08 -1.73868e-09
1.87360e+03 1.39173e-01 2.44586e-05 2.65544e-05 4.54750e-06 6.08439e-07
2.33770e+03 1.39173e-01 2.06116e-06 2.24635e-06 6.87074e-07 -5.04453e-08
3.45860e+03 1.39173e-01 7.57609e-09 8.28964e-09 5.67734e-09 -1.11023e-09
9.70170e+02 1.39173e-01 4.41840e-03 5.14361e-03 2.98947e-04 -8.44948e-05
3.23400e+03 1.39173e-01 2.15416e-08 2.35488e-08 1.41282e-08 -2.46225e-09
1.96260e+03 1.39173e-01 1.48417e-05 1.60060e-05 3.23174e-06 8.17888e-08
3.14040e+03 1.39173e-01 3.37746e-08 3.60220e-08 2.23705e-08 -2.23157e-09
2.84940e+03 1.39173e-01 1.45917e-07 1.54595e-07 8.85799e-08 -6.22086e-09
3.30440e+03 1.39173e-01 1.54251e-08 1.64858e-08 1.19779e-08 -1.40719e-09
2.37400e+03 1.39173e-01 1.64525e-06 1.83088e-06 5.77657e-07 -2.31904e-09
2.01930e+03 1.39173e-01 1.10680e-05 1.22881e-05 2.45106e-06 -4.49035e-07
2.60780e+03 1.39173e-01 4.88619e-07 5.32998e-07 2.31543e-07 -1.11760e-08
2.36870e+03 1.39173e-01 1.68146e-06 1.92597e-06 5.98487e-07 -9.04832e-08
3.17300e+03 1.39173e-01 2.83410e-08 3.06629e-08 1.91271e-08 -1.80322e-09
2.67560e+03 1.39173e-01 3.47421e-07 3.80260e-07 1.77979e-07 -8.35608e-09
3.21690e+03 1.39173e-01 2.28494e-08 2.56719e-08 1.59586e-08 -2.68841e-09
2.67010e+03 1.39173e-01 3.61310e-07 3.91415e-07 1.81283e-07 -2.13205e-08
2.37540e+03 1.39173e-01 1.64073e-06 1.79314e-06 5.72885e-07 -3.91835e-08
9.83580e+02 1.39173e-01 4.15888e-03 4.70917e-03 3.40324e-04 3.13009e-05
1.63710e+03 1.39173e-01 8.51425e-05 9.85617e-05 1.21446e-05 1.18486e-06
2.80370e+03 1.39173e-01 1.78014e-07 2.01119e-07 1.13587e-07 -8.81944e-09
2.89910e+03 1.39173e-01 1.07600e-07 1.16754e-07 7.86796e-08 -4.08468e-09
1.76170e+03 1.39173e-01 4.32297e-05 4.79319e-05 7.72170e-06 3.67497e-07
2.49620e+03 1.39173e-01 8.53478e-07 9.60343e-07 3.54402e-07 -2.94735e-08
9.59660e+02 1.39173e-01 4.77850e-03 5.56320e-03 3.59802e-04 -1.87758e-06
1.28990e+03 1.39173e-01 6.27698e-04 6.79092e-04 5.58601e-05 2.50169e-05
2.60210e+03 1.39173e-01 5.10090e-07 5.39034e-07 2.33022e-07 -1.41594e-08
1.49300e+03 1.39173e-01 1.92762e-04 2.17083e-04 2.08726e-05 -1.63072e-06
2.40230e+03 1.39173e-01 1.38978e-06 1.59901e-06 5.34027e-07 -5.14951e-08
2.51140e+03 1.39173e-01 7.97753e-07 9.10629e-07 3.43578e-07 -2.24904e-08
2.14440e+03 1.39173e-01 5.56613e-06 6.20561e-06 1.42455e-06 -1.74809e-07
2.60760e+03 1.39173e-01 4.92616e-07 5.53194e-07 2.26343e-07 -1.83920e-08
1.61780e+03 1.39173e-01 9.55227e-05 1.05038e-04 1.32262e-05 -1.11118e-06
1.42350e+03 1.39173e-01 2.91771e-04 3.31415e-04 3.18543e-05 -1.71520e-05
3.21580e+03 1.39173e-01 2.36317e-08 2.50113e-08 1.67890e-08 -2.41070e-09
2.32790e+03 1.39173e-01 2.13507e-06 2.28250e-06 6.64307e-07 5.44358e-08
3.23570e+03 1.39173e-01 2.05440e-08 2.36175e-08 1.55974e-08 -2.19801e-09
3.45400e+03 1.39173e-01 7.66699e-09 8.67375e-09 6.16702e-09 -1.24463e-09
